job_id,num_gpu,submit_time,iterations,model_name,batch_size,duration,interval,iteration_time,resource_time_0,resource_time_1,resource_time_2,priority
33,8,6568,294,a2c,64,162000,16000,555,502.0,14,0.4,0
45,1,86201,176,resnet18,128,132000,25000,779,711.0,110,0.0,0
46,1,86425,58,resnet18,128,44000,409000,779,711.0,110,0.0,1
54,4,89385,35,shufflenet_v2_x1_0,128,32000,21000,886,703.0,62,17.0,1
55,4,89553,807,vgg16,16,155000,100000,201,82.0,72,67.0,1
56,4,89664,1002,gpt2,4,459000,353000,433,0.6,413,20.0,0
80,4,168477,58,gpt2,4,27000,5000,433,0.6,413,20.0,0
87,4,169146,99,shufflenet_v2_x1_0,128,89000,333000,886,703.0,62,17.0,1
134,8,197235,2010,gpt2,4,935000,60000,437,0.6,419,49.0,1
195,8,245438,732,bert,4,174542000,3000,192,0.5,167,59.0,0
223,2,274450,2590,dqn,128,1308000,146000,495,441.0,8,0.6,0
235,8,277359,6031,a2c,64,165854000,22000,555,502.0,14,0.4,0
242,2,282118,1175,shufflenet_v2_x1_0,128,1111000,23000,850,747.0,58,18.0,1
243,2,282192,2622,vgg19,16,1091000,178000,205,115.0,83,41.0,1
244,2,282199,1900,dqn,128,960000,20000,495,441.0,8,0.6,1
246,2,282211,2262,vgg16,16,439000,20000,191,114.0,72,40.0,1
254,2,296162,219,bert,4,51000,196000,195,0.5,163,18.0,1
260,2,302451,76,vgg19,16,16000,284000,205,115.0,83,41.0,1
266,4,350605,104,gpt2,4,48000,18000,433,0.6,413,20.0,1
287,16,414947,4181,dqn,128,4391000,5000,525,438.0,8,1.2,1
296,16,435436,545,vgg19,16,85497000,5000,302,102.0,78,123.0,1
300,1,443675,437,shufflenet_v2_x1_0,128,340000,53000,798,706.0,59,0.0,0
306,1,469166,3193,gpt2,4,72493000,74000,426,0.6,410,0.0,0
309,1,471868,6337,vgg16,16,41827000,35000,107,117.0,68,0.0,0
310,1,472195,159,bert,4,35000,224000,178,0.5,160,0.0,0
325,2,510515,24,resnet18,128,23000,16000,881,687.0,110,95.0,1
353,1,598063,494,gpt2,4,11234000,96000,426,0.6,410,0.0,0
355,1,599979,3267,a2c,64,8691000,10000,517,514.0,14,0.0,1
359,1,599997,441,dqn,128,10801000,18000,490,446.0,8,0.0,0
360,1,600000,3266,a2c,64,8690000,9000,517,514.0,14,0.0,0
